Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2010",,,,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",
ALABAMA,Metropolitan Statistical Area,,3424852,,,,,,,,,, 
,,Area actually reporting,1,13207,215,949,4243,7800,124845,32759,83928,8158,
,,Estimated total,1,14072,224,1027,4403,8418,133796,35225,89830,8741,
,Cities outside metropolitan areas,,622679,,,,,,,,,,
,,Area actually reporting,1,2300,23,163,256,1858,21402,3730,16606,1066,
,,Estimated total,1,2704,26,193,299,2186,25061,4364,19447,1250,
,Nonmetropolitan counties,,732205,,,,,,,,,,
,,Area actually reporting,1,891,16,90,41,744,6428,1702,4302,424,
,,Estimated total,1,1280,23,129,59,1069,9235,2445,6181,609,
,State Total,,4779736,18056,273,1349,4761,11673,168092,42034,115458,10600,
,,"Rate per 100,000 inhabitants",,378,6,28,100,244,3517,879,2416,222,
ALASKA,Metropolitan Statistical Area,,351488,,,,,,,,,,
,,Area actually reporting,1,2846,13,343,499,1991,12534,1472,10087,975,
,Cities outside metropolitan areas,,123081,,,,,,,,,,
,,Area actually reporting,1,672,3,124,53,492,4211,557,3351,303,
,,Estimated total,1,697,3,129,55,510,4364,577,3473,314,
,Nonmetropolitan counties,,235662,,,,,,,,,,
,,Area actually reporting,1,994,15,61,40,878,3361,1056,1975,330,
,State Total,,710231,4537,31,533,594,3379,20259,3105,15535,1619,
,,"Rate per 100,000 inhabitants",,639,4,75,84,476,2853,437,2187,228,
ARIZONA,Metropolitan Statistical Area,,5932512,,,,,,,,,,
,,Area actually reporting,1,22116,347,1511,6784,13474,210393,46069,144476,19848,
,,Estimated total,1,22185,348,1517,6799,13521,211304,46260,145139,19905,
,Cities outside metropolitan areas, ,197445,, ,,,,,,,,
,,Area actually reporting,1,2891,47,561,98,2185,10314,2854,6331,1129,
,,Estimated total,1,3217,52,624,109,2432,11479,3176,7046,1257,
,Nonmetropolitan counties, ,262060,,,,,,,,,,
,,Area actually reporting,1,669,9,24,28,608,3047,1308,1400,339,
,,Estimated total,1,683,9,24,29,621,3110,1335,1429,346,
,State Total,,6392017,26085,409,2165,6937,16574,225893,50771,153614,21508,
,,"Rate per 100,000 inhabitants",,408,6,34,109,259,3534,794,2403,337,
ARKANSAS,Metropolitan Statistical Area,,1771078,,,,,,,,,,
,,Area actually reporting,1,10571,83,898,1971,7619,69693,20533,45220,3940,
,,Estimated total,1,10883,84,928,1991,7880,71561,21289,46214,4058,
,Cities outside metropolitan areas,,502369,, ,,,,,,,,
,,Area actually reporting ,1,2315,25,213,307,1770,20207,6787,12692,728,
,,Estimated total,1,2476,27,228,328,1893,21606,7257,13571,778,
,Nonmetropolitan counties,,642471,,,,,,,,,,
,,Area actually reporting,1,1191,23,135,46,987,9187,3434,5140,613,
,,Estimated total,1,1376,27,156,53,1140,10608,3965,5935,708,
,State Total,,2915918,14735,138,1312,2372,10913,103775,32511,65720,5544,
,,"Rate per 100,000 inhabitants",,505,5,45,81,374,3559,1115,2254,190,
CALIFORNIA,Metropolitan Statistical Area,,36417786,,,,,,,,,,
,,Area actually reporting,1,160871,1784,8001,57748,93338,963339,222573,589966,150800,
,Cities outside metropolitan areas,,266745,,,,,,,,,,
,,Area actually reporting,1,1475,3,135,220,1117,9716,2946,6121,649,
,Nonmetropolitan counties,,569425,,,,,,,,,,
,,Area actually reporting,1,1787,22,195,148,1422,8884,3338,4471,1075,
,State Total,,37253956,164133,1809,8331,58116,95877,981939,228857,600558,152524,
,,"Rate per 100,000 inhabitants",,441,5,22,156,257,2636,614,1612,409,
COLORADO,Metropolitan Statistical Area,,4346239,,,,, ,,,,,
,,Area actually reporting,1,14735,105,1986,3043,9601,121162,23765,86725,10672,
,,Estimated total,1,14817,105,2000,3052,9660,121865,23899,87238,10728,
,Cities outside metropolitan areas,,316138,,,,,,,,,,
,,Area actually reporting,1,827,5,145,68,609,9477,1459,7706,312,
,,Estimated total,1,900,5,158,74,663,10316,1588,8388,340,
,Nonmetropolitan counties,,366819,,,,,,,,,,
,,Area actually reporting,1,331,8,32,5,286,2233,529,1562,142,
,,Estimated total,1,416,10,40,6,360,2811,666,1966,179,
,State Total,,5029196,16133,120,2198,3132,10683,134992,26153,97592,11247,
,,"Rate per 100,000 inhabitants",,321,2,44,62,212,2684,520,1941,224,
CONNECTICUT,Metropolitan Statistical Area,,2867895,,,,,,,,,,
,,Area actually reporting,1,9527,125,499,3455,5448,70438,13047,51135,6256,
,Cities outside metropolitan areas,,160274,,,,,,,,,,
,,Area actually reporting,1,227,0,44,43,140,3024,542,2349,133,
,Nonmetropolitan counties,,545928,,,,,,,,,,
,,Area actually reporting,1,303,5,40,55,203,4924,1583,3023,318,
,State Total,,3574097,10057,130,583,3553,5791,78386,15172,56507,6707,
,,"Rate per 100,000 inhabitants",,281,4,16,99,162,2193,425,1581,188,
DELAWARE,Metropolitan Statistical Area,,700791,,,,,,,,,,
,,Area actually reporting,1,4560,44,208,1628,2680,24072,5365,17022,1685,
,Cities outside metropolitan areas,,44036,,,,,,,,,,
,,Area actually reporting,1,386,1,28,102,255,2536,565,1918,53,
,Nonmetropolitan counties,,153107,,, ,,,,,,,
,,Area actually reporting,1,629,3,76,99,451,4355,1585,2579,191,
,State Total,,897934,5575,48,312,1829,3386,30963,7515,21519,1929,
,,"Rate per 100,000 inhabitants",,621,5,35,204,377,3448,837,2397,215,
DISTRICT OF COLUMBIA1,Metropolitan Statistical Area,,601723,,,,,,,,,,
,,Area actually reporting,1,8004,132,187,4325,3360,28756,4231,19489,5036,
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,Total,,601723,8004,132,187,4325,3360,28756,4231,19489,5036,
,,"Rate per 100,000 inhabitants",,1330,22,31,719,558,4779,703,3239,837,
FLORIDA,Metropolitan Statistical Area,,17701972, ,,,,, ,,,,
,,Area actually reporting,1,96825,931,5000,25426,65468,638732,158911,439639,40182,
,,Estimated total,1,96858,931,5002,25436,65489,638989,158970,439821,40198,
,Cities outside metropolitan areas,,192844,,,,,,,,,,
,,Area actually reporting,1,1528,10,109,300,1109,8661,2295,5997,369,
,,Estimated total,1,1555,10,111,305,1129,8819,2337,6106,376,
,Nonmetropolitan counties,,906494,,,,,,,,,,
,,Area actually reporting,1,3556,46,260,345,2905,21227,7812,12527,888,
,State Total,,18801310,101969,987,5373,26086,69523,669035,169119,458454,41462,
,,"Rate per 100,000 inhabitants",,542,5,29,139,370,3558,900,2438,221,
GEORGIA,Metropolitan Statistical Area,,7922112,,,,,,,,,,
,,Area actually reporting,1,32080,503,1727,11189,18661,291234,79704,184177,27353,
,,Estimated total,1,32383,507,1744,11287,18845,294205,80456,186146,27603,
,Cities outside metropolitan areas,,659535,,,,,,,,,,
,,Area actually reporting,1,3575,21,170,754,2630,29276,7062,21159,1055,
,,Estimated total,1,4098,24,195,864,3015,33555,8095,24251,1209,
,Nonmetropolitan counties,,1106006,,,,,,,,,,
,,Area actually reporting,1,2379,25,141,204,2009,22877,7502,14004,1371,
,,Estimated total,1,2591,27,154,222,2188,24919,8172,15254,1493,
,State Total,,9687653,39072,558,2093,12373,24048,352679,96723,225651,30305,
,,"Rate per 100,000 inhabitants",,403,6,22,128,248,3641,998,2329,313,
HAWAII,Metropolitan Statistical Area,,950268,,,,,,,,,,
,,Area actually reporting,1,2548,19,218,891,1420,31668,5760,22007,3901,
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,410033,,,,,,,,,,
,,Area actually reporting,1,1026,5,147,163,711,13415,2903,9313,1199,
,State Total, ,1360301,3574,24,365,1054,2131,45083,8663,31320,5100,
,,"Rate per 100,000 inhabitants",,263,2,27,78,157,3314,637,2302,375,
IDAHO,Metropolitan Statistical Area,,1032982,,,,,, ,,,,
,,Area actually reporting,1,2301,18,349,169,1765,22823,4517,17413,893,
,,Estimated total,1,2310,18,350,169,1773,22917,4543,17477,897,
,Cities outside metropolitan areas,,242324,,,,,,,,,,
,,Area actually reporting,1,753,1,95,38,619,5430,1088,4126,216,
,,Estimated total,1,761,1,96,38,626,5488,1100,4170,218,
,Nonmetropolitan counties, ,292276,,,,,,, ,,,
,,Area actually reporting,1,390,2,78,7,303,2849,849,1795,205,
,,Estimated total,1,394,2,79,7,306,2881,859,1815,207,
,State Total,,1567582,3465,21,525,214,2705,31286,6502,23462,1322,
,,"Rate per 100,000 inhabitants",,221,1,34,14,173,1996,415,1497,84,
ILLINOIS2,Metropolitan Statistical Area,,11201035,,,,,,,,,,
,,Area actually reporting,1,48565,646,2059,19114,26746,282971,61212,195250,26509,
,,Estimated total,1,51529,676,2444,19773,28636,311473,66965,216650,27858,
,Cities outside metropolitan areas,,878599,,,,,,,,,,
,,Area actually reporting,1,2152,15,312,170,1655,16265,3803,12053,409,
,,Estimated total,1,3230,23,468,255,2484,24409,5707,18088,614,
,Nonmetropolitan counties,,750998,,,,,,,,,,
,,Area actually reporting,1,836,5,94,20,717,6302,2120,3930,252,
,,Estimated total,1,1076,7,121,26,922,8107,2727,5056,324,
,State Total,,12830632,55835,706,3033,20054,32042,343989,75399,239794,28796,
,,"Rate per 100,000 inhabitants",,435,6,24,156,250,2681,588,1869,224,
INDIANA,Metropolitan Statistical Area,,5091659,,,,,,,,,,
,,Area actually reporting,1,17931,266,1374,5788,10503,157572,37922,108540,11110,
,,Estimated total,1,18612,275,1447,5911,10979,167230,40069,115460,11701,
,Cities outside metropolitan areas, ,507282,,,,,,,,,,
,,Area actually reporting,1,930,8,157,223,542,17531,3530,13227,774,
,,Estimated total,1,1017,9,172,244,592,19159,3858,14455,846,
,Nonmetropolitan counties,,884861,,,,,,,,,,
,,Area actually reporting,1,584,6,109,49,420,8364,2453,5472,439,
,,Estimated total,1,760,8,142,64,546,10871,3188,7112,571,
,State Total,,6483802,20389,292,1761,6219,12117,197260,47115,137027,13118,
,,"Rate per 100,000 inhabitants",,315,5,27,96,187,3042,727,2113,202,
IOWA,Metropolitan Statistical Area,,1738525, ,,,,,,,,,
,,Area actually reporting,1,5766,21,590,891,4264,47077,10678,33663,2736,
,,Estimated total,1,5801,21,595,892,4293,47405,10758,33894,2753,
,Cities outside metropolitan areas,,591878,,,,,,,,,,
,,Area actually reporting,1,1640,7,170,104,1359,14707,3604,10471,632,
,,Estimated total,1,1777,8,184,113,1472,15934,3905,11344,685,
,Nonmetropolitan counties,,715952,,,,,,,,,,
,,Area actually reporting,1,670,9,51,5,605,4416,1769,2347,300,
,,Estimated total,1,755,10,57,6,682,4976,1993,2645,338,
,State Total,,3046355,8333,39,836,1011,6447,68315,16656,47883,3776,
,,"Rate per 100,000 inhabitants",,274,1,27,33,212,2243,547,1572,124,
KANSAS,Metropolitan Statistical Area,,1962752, ,,,,,,,,,
,,Area actually reporting,1,7750,75,749,1334,5592,64217,13616,45682,4919,
,,Estimated total,1,7773,75,752,1337,5609,64436,13654,45850,4932,
,Cities outside metropolitan areas,,562915,,,,,,,,,,
,,Area actually reporting,1,1924,10,252,183,1479,18954,3867,14361,726,
,,Estimated total,1,2010,10,263,191,1546,19818,4043,15016,759,
,Nonmetropolitan counties,,327451,,,,,,,,,,
,,Area actually reporting,1,709,14,87,15,593,4518,1620,2596,302,
,,Estimated total,1,748,15,92,16,625,4761,1707,2736,318,
,State Total,,2853118,10531,100,1107,1544,7780,89015,19404,63602,6009,
,,"Rate per 100,000 inhabitants",,369,4,39,54,273,3120,680,2229,211,
KENTUCKY,Metropolitan Statistical Area,,2512952, ,,,,, ,,,,
,,Area actually reporting,1,7866,93,701,3089,3983,77341,19078,53942,4321,
,,Estimated total,1,7926,93,709,3114,4010,78133,19250,54525,4358,
,Cities outside metropolitan areas,,527128,,,,,,,,,,
,,Area actually reporting,1,1057,17,183,406,451,16178,3765,11836,577,
,,Estimated total,1,1097,18,190,421,468,16788,3907,12282,599,
,Nonmetropolitan counties,,1299287,,,,,,,,,,
,,Area actually reporting,1,1384,70,443,196,675,14515,6577,6787,1151,
,,Estimated total,1,1505,76,482,213,734,15788,7154,7382,1252,
,State Total,,4339367,10528,187,1381,3748,5212,110709,30311,74189,6209,
,,"Rate per 100,000 inhabitants",,243,4,32,86,120,2551,699,1710,143,
LOUISIANA,Metropolitan Statistical Area,,3392596, ,,,,, ,,,,
,,Area actually reporting,1,17520,460,882,4318,11860,123646,32645,82758,8243,
,,Estimated total,1,17866,463,901,4367,12135,126541,33258,84924,8359,
,Cities outside metropolitan areas,,394908,,,,,,,,,,
,,Area actually reporting,1,3127,21,126,455,2525,17319,5364,11397,558,
,,Estimated total,1,3762,25,152,547,3038,20837,6454,13712,671,
,Nonmetropolitan counties,,745868,,,,,,,,,,
,,Area actually reporting,1,3119,21,172,284,2642,17218,5481,10911,826,
,,Estimated total,1,3258,22,180,297,2759,17979,5723,11393,863,
,State Total,,4533372,24886,510,1233,5211,17932,165357,45435,110029,9893,
,,"Rate per 100,000 inhabitants",,549,11,27,115,396,3648,1002,2427,218,
MAINE,Metropolitan Statistical Area,,779766,,,,,,,,,,
,,Area actually reporting,1,971,16,209,336,410,20151,4066,15473,612,
,Cities outside metropolitan areas,,273009,,,,,,,,,,
,,Area actually reporting,1,421,2,118,53,248,8263,1580,6519,164,
,Nonmetropolitan counties,,275586,,,,,,,,,,
,,Area actually reporting,1,229,6,62,25,136,4520,1713,2593,214,
,State Total,,1328361,1621,24,389,414,794,32934,7359,24585,990,
,,"Rate per 100,000 inhabitants",,122,2,29,31,60,2479,554,1851,75,
MARYLAND,Metropolitan Statistical Area,,5465306,,,,,,,,,,
,,Area actually reporting,1,30535,417,1179,10857,18082,164703,34509,112457,17737,
,Cities outside metropolitan areas,,80827,,,,,,,,,,
,,Area actually reporting,1,498,3,24,121,350,4034,846,3092,96,
,Nonmetropolitan counties,,227419,,,,,,,,,,
,,Area actually reporting,1,587,10,24,76,477,4314,1187,2909,218,
,State Total,,5773552,31620,430,1227,11054,18909,173051,36542,118458,18051,
,,"Rate per 100,000 inhabitants",,548,7,21,192,328,2997,633,2052,313,
MASSACHUSETTS,Metropolitan Statistical Area,,6520338,,,,,,,,,,
,,Area actually reporting,1,30236,208,1720,6832,21476,151787,37290,103166,11331,
,,Estimated total,1,30439,208,1733,6868,21630,153055,37606,104035,11414,
,Cities outside metropolitan areas,,27205,,,,,,,,,,
,,Area actually reporting,1,113,2,12,6,93,848,160,649,39,
,Nonmetropolitan counties,,86,,,,,,,,,,
,,Area actually reporting,1,1,0,0,0,1,2,1,1,0,
,State Total,,6547629,30553,210,1745,6874,21724,153905,37767,104685,11453,
,,"Rate per 100,000 inhabitants",,467,3,27,105,332,2351,577,1599,175,
MICHIGAN,Metropolitan Statistical Area,,8066088,,,,,,,,,,
,,Area actually reporting,1,44042,533,3515,11202,28792,228343,64196,138346,25801,
,,Estimated total,1,44410,535,3557,11284,29034,231532,64890,140589,26053,
,Cities outside metropolitan areas,,620812,,,,,,,,,,
,,Area actually reporting,1,1405,9,340,126,930,15419,2380,12628,411,
,,Estimated total,1,1659,11,402,148,1098,18378,2826,15061,491,
