Table 5,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,
"by State, 2012",, ,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
ALABAMA,Metropolitan Statistical Area,,3650288,,,,,,,,,
,,Area actually reporting,1,16842,283,981,4517,11061,133153,37131,88221,7801
,,Estimated total,1,17034,285,990,4562,11197,134817,37524,89402,7891
,Cities outside metropolitan areas,,530240,,,,,,,,,
,,Area actually reporting,1,2813,28,177,364,2244,22441,5530,15765,1146
,,Estimated total,1,2972,30,186,380,2376,23541,5817,16518,1206
,Nonmetropolitan counties,,641495,,,,,,,,,
,,Area actually reporting,1,1674,27,119,77,1451,10438,4108,5559,771
,,Estimated total,1,1687,27,120,78,1462,10520,4140,5603,777
,State Total,,4822023,21693,342,1296,5020,15035,168878,47481,111523,9874
,,"Rate per 100,000 inhabitants",,450,7,27,104,312,3502,985,2313,205
ALASKA,Metropolitan Statistical Area,,348132,,,,,,,,,
,,Area actually reporting,1,2726,18,336,535,1837,12893,1384,10518,991
,Cities outside metropolitan areas,,127551,,,,,,,,,
,,Area actually reporting,1,699,4,103,56,536,3645,422,2979,244
,,Estimated total,1,724,4,107,58,555,3777,437,3087,253
,Nonmetropolitan counties,,255766,,,,,,,,,
,,Area actually reporting,1,962,8,140,37,777,3367,1129,1960,278
,State Total,,731449,4412,30,583,630,3169,20037,2950,15565,1522
,,"Rate per 100,000 inhabitants",,603,4,80,86,433,2739,403,2128,208
ARIZONA,Metropolitan Statistical Area,,6202680,,,,,,,,,
,,Area actually reporting,1,25286,324,1733,7251,15978,219952,49185,153015,17752
,,Estimated total,1,25312,324,1735,7257,15996,220275,49249,153254,17772
,Cities outside metropolitan areas, ,125367,, ,,,,,,,
,,Area actually reporting,1,1909,25,417,88,1379,7424,2259,4199,966
,,Estimated total,1,2418,32,528,111,1747,9405,2862,5319,1224
,Nonmetropolitan counties, ,225208,,,,,,,,,
,,Area actually reporting,1,378,2,14,18,344,2250,823,1265,162
