Table 5,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,
"by State, 2013",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
ALABAMA4,Metropolitan Statistical Area,,3672399,,,,,,,,,,
,,Area actually reporting,1,,280,1454,,4130,10373,126932,32452,86012,8468
,,Estimated total,1,16664,283,1507,1053,4208,10666,130416,33451,88269,8696
,Cities outside metropolitan areas,,528341,,,,,,,,,,
,,Area actually reporting,1,,33,282,,348,2022,21396,5317,14897,1182
,,Estimated total,1,2840,35,299,209,367,2139,22487,5605,15637,1245
,Nonmetropolitan counties,,632982,,,,,,,,,,
,,Area actually reporting,1,,29,236,,72,974,9020,3347,5048,625
,,Estimated total,1,1322,29,238,166,73,982,9090,3373,5087,630
,State Total,,4833722,20826,347,2044,1428,4648,13787,161993,42429,108993,10571
,,"Rate per 100,000 inhabitants",,431,7,42,30,96,285,3351,878,2255,219
ALASKA4,Metropolitan Statistical Area,,349294,,,,,,,,,,
,,Area actually reporting,1,2734,15,454,317,569,1696,14476,1523,11912,1041
,Cities outside metropolitan areas,,128768,,,,,,,,,,
,,Area actually reporting,1,,1,98,,33,636,3606,407,2950,249
,,Estimated total,1,795,1,101,71,34,659,3733,421,3054,258
,Nonmetropolitan counties,,257070,,,,,,,,,,
,,Area actually reporting,1,1179,18,367,256,21,773,3001,972,1633,396
,State Total,,735132,4708,34,922,644,624,3128,21210,2916,16599,1695
,,"Rate per 100,000 inhabitants",,640,5,125,88,85,426,2885,397,2258,231
"ARIZONA5,6",Metropolitan Statistical Area,,6277606,,,,,,,,,,
,,Area actually reporting,1,,315,,1843,6567,15516,213239,44933,152271,16035
,,Estimated total,1,24832,315,2406,1843,6575,15536,213617,45003,152558,16056
,Cities outside metropolitan areas, ,123679,, ,,,,,,,,
,,Area actually reporting,1,,36,,433,102,1406,8420,2465,4901,1054
,,Estimated total,1,2378,41,631,490,115,1591,9528,2789,5546,1193
,Nonmetropolitan counties, ,225339,,,,,,,,,,
,,Area actually reporting,1,389,1,13,10,12,363,2098,741,1168,189
,State Total,,6626624,27599,357,3050,2343,6702,17490,225243,48533,159272,17438
,,"Rate per 100,000 inhabitants",,417,5,46,35,101,264,3399,732,2404,263
ARKANSAS4,Metropolitan Statistical Area,,1803197,,,,,,,,,,
,,Area actually reporting,1,,100,898,,1852,6781,69888,18297,47716,3875
,,Estimated total,1,9872,101,928,648,1865,6978,71483,18856,48636,3991
,Cities outside metropolitan areas,,509967,, ,,,,,,,,
,,Area actually reporting ,1,,25,272,,316,1590,20733,6846,13112,775
,,Estimated total,1,2382,27,294,205,342,1719,22416,7402,14176,838
,Nonmetropolitan counties,,646209,,,,,,,,,,
,,Area actually reporting,1,,29,186,,47,1001,11739,3903,7052,784
,,Estimated total,1,1367,31,201,140,51,1084,12714,4227,7638,849
,State Total,,2959373,13621,159,1423,993,2258,9781,106613,30485,70450,5678
,,"Rate per 100,000 inhabitants",,460,5,48,34,76,331,3603,1030,2381,192
CALIFORNIA,Metropolitan Statistical Area,,37497856,,,,,,,,,,
,,Area actually reporting,1,,1711,,7183,53239,86136,998309,225528,609730,163051
,,Estimated total,1,150459,1711,9349,7184,53247,86152,998514,225576,609857,163081
,Cities outside metropolitan areas,,271108,,,,,,,,,,
,,Area actually reporting,1,1661,15,141,108,244,1261,10846,2848,7146,852
,Nonmetropolitan counties,,563557,,,,,,,,,,
,,Area actually reporting,1,2009,20,224,172,149,1616,9547,3634,4554,1359
,State Total,,38332521,154129,1746,9714,7464,53640,89029,1018907,232058,621557,165292
,,"Rate per 100,000 inhabitants",,402,5,25,20,140,232,2658,605,1622,431
COLORADO4,Metropolitan Statistical Area,,4578645,,,,,, ,,,,
,,Area actually reporting,1,,154,2620,,3073,8995,126908,22739,92275,11894
,,Estimated total,1,14979,156,2651,1852,3085,9087,128078,22972,93108,11998
,Cities outside metropolitan areas,,327070,,,,,,,,,,
,,Area actually reporting,1,,14,176,,53,516,8486,1275,6897,314
,,Estimated total,1,809,15,187,131,57,550,9047,1359,7353,335
,Nonmetropolitan counties,,362652,,,,,,,,,,
,,Area actually reporting,1,,7,94,,9,318,2860,732,1933,195
,,Estimated total,1,438,7,96,67,9,326,2932,750,1982,200
,State Total,,5268367,16226,178,2934,2050,3151,9963,140057,25081,102443,12533
,,"Rate per 100,000 inhabitants",,308,3,56,39,60,189,2659,476,1945,238
CONNECTICUT5,Metropolitan Statistical Area,,2942348,,,,,,,,,,
,,Area actually reporting,1,8879,80,842,571,3456,4501,64527,11328,47504,5695
,Cities outside metropolitan areas,,116380,,,,,,,,,,
