Table 5,,,,,,,,,,,,,
Crime in the United States,,,, ,,,,,,,,,
"by State, 2014",,,,,,,, ,,,,,
State,Area,,Population,Violent crime1,"Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
ALABAMA4,Metropolitan Statistical Area,,3692100,,,,,,,,,,
,,Area actually reporting,1,16204,232,1435,1033,4131,10406,118226,29903,80430,7893
,,Estimated total,1,16702,236,1494,1076,4228,10744,122299,31007,83126,8166
,Cities outside metropolitan areas,,529129,,,,,,,,,,
,,Area actually reporting,1,2605,17,294,214,363,1931,21747,5005,15516,1226
,,Estimated total,1,2769,18,310,226,386,2055,23058,5330,16420,1308
,Nonmetropolitan counties,,628148,,,,,,,,,,
,,Area actually reporting,1,1247,22,199,133,86,940,8683,3357,4663,663
,,Estimated total,1,1256,22,201,134,87,946,8737,3378,4692,667
,State Total,,4849377,20727,276,2005,1436,4701,13745,154094,39715,104238,10141
,,"Rate per 100,000 inhabitants",,427,6,41,30,97,283,3178,819,2150,209
ALASKA4,Metropolitan Statistical Area,,351408,,,,,,,,,,
,,Area actually reporting,1,2899,17,442,329,557,1883,13905,1626,11148,1131
,Cities outside metropolitan areas,,128681,,,,,,,,,,
,,Area actually reporting,1,722,3,128,93,45,546,3362,413,2702,247
,,Estimated total,1,748,3,133,98,47,565,3480,427,2797,256
,Nonmetropolitan counties,,256643,,,,,,,,,,
,,Area actually reporting,1,1037,21,196,128,25,795,2949,1097,1500,352
,State Total,,736732,4684,41,771,555,629,3243,20334,3150,15445,1739
,,"Rate per 100,000 inhabitants",,636,6,105,75,85,440,2760,428,2096,236
ARIZONA4,Metropolitan Statistical Area,,6382968,,,,,,,,,,
,,Area actually reporting,1,24006,288,2762,2024,6117,14839,201780,39504,146202,16074
,,Estimated total,1,24291,293,2791,2045,6155,15052,204214,40034,147926,16254
,Cities outside metropolitan areas, ,123617,, ,,,,,,,,
,,Area actually reporting,1,1721,20,452,323,55,1194,7020,2111,3996,913
,,Estimated total,1,2192,25,574,409,70,1523,8952,2692,5096,1164
,Nonmetropolitan counties, ,224899,,,,,,,,,,
,,Area actually reporting,1,433,1,13,10,24,395,2074,836,1069,169
,State Total,,6731484,26916,319,3378,2464,6249,16970,215240,43562,154091,17587
,,"Rate per 100,000 inhabitants",,400,5,50,37,93,252,3198,647,2289,261
ARKANSAS4,Metropolitan Statistical Area,,1818380,,,,,,,,,,
,,Area actually reporting,1,9939,109,958,699,1671,7201,65236,15309,46042,3885
,,Estimated total,1,10058,109,976,712,1683,7290,66163,15532,46704,3927
,Cities outside metropolitan areas,,507788,, ,,,,,,,,
,,Area actually reporting ,1,2349,27,383,227,284,1655,18688,5059,12892,737
,,Estimated total,1,2648,30,438,268,319,1861,21015,5689,14497,829
,Nonmetropolitan counties,,640201,,,,,,,,,,
,,Area actually reporting,1,1340,23,296,170,42,979,10407,3137,6527,743
,,Estimated total,1,1537,26,349,202,48,1114,11840,3569,7426,845
,State Total,,2966369,14243,165,1763,1182,2050,10265,99018,24790,68627,5601
,,"Rate per 100,000 inhabitants",,480,6,59,40,69,346,3338,836,2314,189
CALIFORNIA5,Metropolitan Statistical Area,,37970617,,,,,,,,,,
,,Area actually reporting,1,150171,1652,11088,8096,48278,89153,928421,197039,581578,149804
,,Estimated total,1,150192,1652,11089,8097,48285,89166,928584,197074,581682,149828
,Cities outside metropolitan areas,,268396,,,,,,,,,,
,,Area actually reporting,1,1524,16,168,126,257,1083,10256,2635,6832,789
,Nonmetropolitan counties,,563487,,,,,,,,,,
,,Area actually reporting,1,1993,31,270,175,138,1554,8352,2961,4156,1235
,State Total,,38802500,153709,1699,11527,8398,48680,91803,947192,202670,592670,151852
,,"Rate per 100,000 inhabitants",,396,4,30,22,126,237,2441,522,1527,391
COLORADO4,Metropolitan Statistical Area,,4664010,,,,,, ,,,,
,,Area actually reporting,1,15229,126,2700,1943,2952,9451,122570,21212,89448,11910
,,Estimated total,1,15365,127,2728,1961,2963,9547,123592,21419,90164,12009
,Cities outside metropolitan areas,,334211,,,,,,,,,,
,,Area actually reporting,1,735,15,191,96,60,469,8603,1257,7018,328
,,Estimated total,1,790,16,207,109,64,503,9233,1349,7532,352
,Nonmetropolitan counties,,357645,,,,,,,,,,
,,Area actually reporting,1,398,8,104,51,12,274,2674,701,1761,212
,,Estimated total,1,399,8,104,51,12,275,2685,704,1768,213
,State Total,,5355866,16554,151,3039,2121,3039,10325,135510,23472,99464,12574
,,"Rate per 100,000 inhabitants",,309,3,57,40,57,193,2530,438,1857,235
CONNECTICUT4,Metropolitan Statistical Area,,2948198,,,,,,,,,,
,,Area actually reporting,1,8068,82,686,513,3106,4194,63397,10737,46890,5770
,Cities outside metropolitan areas,,115968,,,,,,,,,,
,,Area actually reporting,1,108,2,11,8,22,73,1850,274,1499,77
,Nonmetropolitan counties,,532511,,,,,,,,,,
,,Area actually reporting,1,346,2,85,50,31,228,3823,944,2616,263
,State Total,,3596677,8522,86,782,571,3159,4495,69070,11955,51005,6110
,,"Rate per 100,000 inhabitants",,237,2,22,16,88,125,1920,332,1418,170
DELAWARE4,Metropolitan Statistical Area,,935614,,,,,,,,,,
,,Area actually reporting,1,4575,54,385,249,1269,2867,27899,5768,20864,1267
,Cities outside metropolitan areas,,None,, ,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,,Area actually reporting,1,1,0,1,0,0,0,1,0,1,0
,State Total,,935614,4576,54,386,249,1269,2867,27900,5768,20865,1267
,,"Rate per 100,000 inhabitants",,489,6,41,27,136,306,2982,617,2230,135
"DISTRICT OF COLUMBIA4, 6",Metropolitan Statistical Area,,658893,,,,,,,,,,
,,Area actually reporting,1,8199,105,472,352,3497,4125,34147,3466,26898,3783
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,Total,,658893,8199,105,472,352,3497,4125,34147,3466,26898,3783
,,"Rate per 100,000 inhabitants",,1244,16,72,53,531,626,5183,526,4082,574
FLORIDA4,Metropolitan Statistical Area,,19186005, ,,,,,, ,,,
,,Area actually reporting,1,104161,1133,8298,5872,24552,70178,661692,138134,481755,41803
,,Estimated total,1,104272,1133,8308,5880,24582,70249,662580,138301,482424,41855
,Cities outside metropolitan areas,,148283,,,,,,,,,,
,,Area actually reporting,1,921,4,53,38,163,701,5937,1324,4355,258
,,Estimated total,1,949,4,54,39,168,723,6121,1365,4490,266
,Nonmetropolitan counties,,559009,,,,,,,,,,
,,Area actually reporting,1,2159,11,184,121,154,1810,10115,3346,6338,431
,,Estimated total,1,2300,12,201,132,164,1923,10745,3554,6733,458
,State Total,,19893297,107521,1149,8563,6051,24914,72895,679446,143220,493647,42579
,,"Rate per 100,000 inhabitants",,541,6,43,30,125,366,3416,720,2482,214
GEORGIA7,Metropolitan Statistical Area,,8320348,,,,,,,,,,
,,Area actually reporting,1,32097,508,2487,1769,11368,17734,276099,63221,188100,24778
,,Estimated total,1,32360,508,2539,1809,11447,17866,278295,63621,189741,24933
,Cities outside metropolitan areas,,662709,,,,,,,,,,
,,Area actually reporting,1,3041,30,255,188,704,2052,29412,6160,22485,767
,,Estimated total,1,3352,33,269,202,779,2271,32554,6818,24887,849
,Nonmetropolitan counties,,1114286,,,,,,,,,,
,,Area actually reporting,1,2179,36,215,134,175,1753,18737,5483,12273,981
,,Estimated total,1,2385,39,240,148,191,1915,20467,5989,13406,1072
,State Total,,10097343,38097,580,3048,2159,12417,22052,331316,76428,228034,26854
,,"Rate per 100,000 inhabitants",,377,6,30,21,123,218,3281,757,2258,266
HAWAII4,Metropolitan Statistical Area,,1156263,,,,,,,,,,
,,Area actually reporting,1,2901,15,310,225,994,1582,35245,5759,26162,3324
,Cities outside metropolitan areas,,None,, ,,,,,,,,
,Nonmetropolitan counties,,263298,,,,,,,,,,
,,Estimated total,1,779,11,135,89,113,520,8052,2019,5478,555
,State Total, ,1419561,3680,26,445,314,1107,2102,43297,7778,31640,3879
,,"Rate per 100,000 inhabitants",,259,2,31,22,78,148,3050,548,2229,273
IDAHO4,Metropolitan Statistical Area,,1086169,,,,,,, ,,,
,,Area actually reporting,1,2431,18,433,318,157,1823,21605,4103,16290,1212
,,Estimated total,1,2432,18,433,318,157,1824,21616,4105,16298,1213
,Cities outside metropolitan areas,,250458,,,,,,,,,,
,,Area actually reporting,1,628,4,111,93,36,477,5510,1283,3999,228
,Nonmetropolitan counties, ,297837,,,,,,,, ,,
,,Area actually reporting,1,408,10,65,57,11,322,3190,1040,1930,220
,State Total,,1634464,3468,32,609,468,204,2623,30316,6428,22227,1661
,,"Rate per 100,000 inhabitants",,212,2,37,29,13,161,1855,393,1360,102
ILLINOIS4,Metropolitan Statistical Area,,11380871,,,,,,,,,,
,,Area actually reporting,1,43827,656,3577,2647,14844,24750,237056,43542,177082,16432
