Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2015",,,,,,,, ,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition)2 ","Rape
(legacy
definition)3",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft"
ALABAMA,Metropolitan Statistical Area,,3708033,,,,,,,,,,
,,Area actually reporting,1,18122,283,1496,1080,4080,12263,113447,27208,78141,8098
,,Estimated total,1,18500,287,1537,1111,4138,12538,115920,27852,79799,8269
,Cities outside metropolitan areas,,522241,,,,,,,,,,
,,Area actually reporting,1,3178,32,311,218,354,2481,20873,4438,15106,1329
,,Estimated total,1,3240,33,315,222,360,2532,21203,4518,15329,1356
,Nonmetropolitan counties,,628705,,,,,,,,,,
,,Area actually reporting,1,1205,28,186,122,112,879,7578,2868,4004,706
,,Estimated total,1,1212,28,187,123,113,884,7623,2885,4028,710
,State Total,,4858979,22952,348,2039,1456,4611,15954,144746,35255,99156,10335
,,"Rate per 100,000 inhabitants",,472,7,42,30,95,328,2979,726,2041,213
ALASKA,Metropolitan Statistical Area,,351857,,,,,,,,,,
,,Area actually reporting,1,3464,27,541,401,658,2238,14151,1919,10884,1348
,Cities outside metropolitan areas,,127499,,,,,,,,,,
,,Area actually reporting,1,886,10,178,128,60,638,3523,530,2737,256
,,Estimated total,1,913,10,184,133,62,657,3625,545,2817,263
,Nonmetropolitan counties,,259076,,,,,,,,,,
,,Area actually reporting,1,1015,22,176,116,41,776,3030,1047,1548,435
,State Total,,738432,5392,59,901,650,761,3671,20806,3511,15249,2046
,,"Rate per 100,000 inhabitants",,730,8,122,88,103,497,2818,476,2065,277
ARIZONA,Metropolitan Statistical Area,,6479810,,,,,,,,,,
,,Area actually reporting,1,24725,280,2805,2072,6239,15401,198411,35919,146431,16061
,,Estimated total,1,24781,280,2811,2077,6251,15439,198994,36015,146882,16097
,Cities outside metropolitan areas, ,124240,, ,,,,,,,,
,,Area actually reporting,1,2678,24,269,199,91,2294,5854,1280,4095,479
,,Estimated total,1,2851,26,286,210,97,2442,6233,1363,4360,510
,Nonmetropolitan counties, ,224015,,,,,,,,,,
,,Area actually reporting,1,380,3,11,7,12,354,1880,579,1123,178
,State Total,,6828065,28012,309,3108,2294,6360,18235,207107,37957,152365,16785
,,"Rate per 100,000 inhabitants",,410,5,46,34,93,267,3033,556,2232,246
ARKANSAS,Metropolitan Statistical Area,,1837196,,,,,,,,,,
,,Area actually reporting,1,10724,124,1133,838,1673,7794,67157,14402,48559,4196
,,Estimated total,1,10727,124,1134,839,1673,7796,67180,14407,48576,4197
,Cities outside metropolitan areas,,515124,, ,,,,,,,,
,,Area actually reporting ,1,2724,36,406,248,333,1949,17524,4692,12108,724
,,Estimated total,1,3057,40,462,289,373,2182,19622,5254,13557,811
,Nonmetropolitan counties,,625884,,,,,,,,,,
,,Area actually reporting,1,1559,15,292,143,47,1205,9036,2683,5665,688
,,Estimated total,1,1742,17,335,172,52,1338,10034,2979,6291,764
,State Total,,2978204,15526,181,1931,1300,2098,11316,96836,22640,68424,5772
,,"Rate per 100,000 inhabitants",,521,6,65,44,70,380,3252,760,2298,194
CALIFORNIA,Metropolitan Statistical Area,,38317995,,,,,,,,,,
,,Area actually reporting,1,163195,1815,12411,9116,52439,96530,1006421,192016,645773,168632
,,Estimated total,1,163219,1815,12413,9117,52447,96544,1006607,192051,645895,168661
,Cities outside metropolitan areas,,268497,,,,,,,,,,
,,Area actually reporting,1,1630,15,151,106,245,1219,9889,2189,6747,953
,Nonmetropolitan counties,,558326,,,,,,,,,,
,,Area actually reporting,1,2034,31,247,164,170,1586,8418,3164,3875,1379
,State Total,,39144818,166883,1861,12811,9387,52862,99349,1024914,197404,656517,170993
,,"Rate per 100,000 inhabitants",,426,5,33,24,135,254,2618,504,1677,437
COLORADO,Metropolitan Statistical Area,,4763884,,,,,, ,,,,
,,Area actually reporting,1,16306,164,2991,2196,3235,9916,131216,21077,94787,15352
,,Estimated total,1,16308,164,2991,2196,3235,9918,131247,21081,94811,15355
,Cities outside metropolitan areas,,335080,,,,,,,,,,
,,Area actually reporting,1,750,6,167,119,75,502,9539,1440,7708,391
,,Estimated total,1,771,6,170,122,77,518,9842,1486,7953,403
,Nonmetropolitan counties,,357610,,,,,,,,,,
,,Area actually reporting,1,430,6,95,58,11,318,2999,873,1888,238
,,Estimated total,1,436,6,96,59,11,323,3047,887,1918,242
,State Total,,5456574,17515,176,3257,2377,3323,10759,144136,23454,104682,16000
,,"Rate per 100,000 inhabitants",,321,3,60,44,61,197,2642,430,1919,293
CONNECTICUT,Metropolitan Statistical Area,,2951843,,,,,,,,,,
,,Area actually reporting,1,7441,102,694,521,2819,3826,59961,9050,44991,5920
,Cities outside metropolitan areas,,114485,,,,,,,,,,
