Table 3,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,
"by State, 2016",,,,,,,, ,,,,,,,
State,Area,,Population,"Violent
crime1","Murder and 
nonnegligent 
manslaughter","Rape
(revised
definition2) ","Rape
(legacy
definition3)",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",,
ALABAMA,Metropolitan Statistical Area,,3716889,,,,,,,,,,,,
,,Area actually reporting,1,20793,331,1489,1084,4174,14799,114605,26966,78072,9567,,
,,Estimated total,1,20949,332,1498,1091,4200,14919,115564,27156,78771,9637,,
,Cities outside metropolitan areas,,520422,,,,,,,,,,,,
,,Area actually reporting,1,3551,41,263,187,410,2837,19841,4173,14332,1336,, 
,,Estimated total,1,3646,42,269,193,421,2914,20291,4275,14641,1375,,
,Nonmetropolitan counties,,625989,,,,,,,,,,,,
,,Area actually reporting,1,1220,31,141,95,61,987,7096,2490,3934,672,,
,,Estimated total,1,1291,33,149,101,65,1044,7507,2634,4162,711,,
,State Total,,4863300,25886,407,1916,1385,4686,18877,143362,34065,97574,11723,,
,,"Rate per 100,000 inhabitants",,532,8,39,29,96,388,2948,701,2006,241,,
ALASKA,Metropolitan Statistical Area,,350298,,,,,,,,,,,,
,,Area actually reporting,1,3751,35,583,439,741,2392,17143,2243,12620,2280,,
,Cities outside metropolitan areas,,128053,,,,,,,,,,,,
,,Area actually reporting,1,964,2,165,119,71,726,4069,655,3101,313,,
,,Estimated total,1,989,2,169,123,73,745,4177,672,3184,321,,
,Nonmetropolitan counties,,263543,,,,,,,,,,,,
,,Area actually reporting,1,1226,15,301,195,36,874,3556,1138,1962,456,,
,State Total,,741894,5966,52,1053,757,850,4011,24876,4053,17766,3057,,
,,"Rate per 100,000 inhabitants",,804,7,142,102,115,541,3353,546,2395,412,,
ARIZONA,Metropolitan Statistical Area,,6583506,,,,,,,,,,,,
,,Area actually reporting,1,27522,334,2997,2238,6931,17260,196398,35424,143602,17372,,
,,Estimated total,1,27789,338,3025,2258,6971,17455,198543,35844,145152,17547,,
,Cities outside metropolitan areas, ,124210,, ,,,,,,,,,,
,,Area actually reporting,1,4342,32,250,184,65,3995,5937,1199,4069,669,,
,Nonmetropolitan counties, ,223355,,,,,,,,,,,,
,,Area actually reporting,1,452,10,15,10,19,408,1952,693,1054,205,,
,State Total,,6931071,32583,380,3290,2452,7055,21858,206432,37736,150275,18421,,
,,"Rate per 100,000 inhabitants",,470,6,48,35,102,315,2978,544,2168,266,,
ARKANSAS,Metropolitan Statistical Area,,1851896,,,,,,,,,,,,
,,Area actually reporting,1,11573,144,1315,967,1711,8403,68739,15650,47839,5250,,
,,Estimated total,1,11576,144,1316,968,1711,8405,68762,15655,47856,5251,,
,Cities outside metropolitan areas,,515688,, ,,,,,,,,,,
,,Area actually reporting ,1,2925,44,471,343,347,2063,18438,4926,12537,975,,
,,Estimated total,1,3109,47,500,364,369,2193,19599,5236,13327,1036,,
,Nonmetropolitan counties,,620664,,,,,,,,,,,,
,,Area actually reporting,1,1704,24,313,204,38,1329,8944,2766,5344,834,,
,,Estimated total,1,1776,25,327,213,40,1384,9312,2880,5564,868,,
,State Total,,2988248,16461,216,2143,1545,2120,11982,97673,23771,66747,7155,,
,,"Rate per 100,000 inhabitants",,551,7,72,52,71,401,3269,796,2234,239,,
CALIFORNIA,Metropolitan Statistical Area,,38426705,,,,,,,,,,,,
,,Area actually reporting,1,170862,1880,13290,9871,54288,101404,983750,182895,626742,174113,,
,,Estimated total,1,170887,1880,13292,9872,54296,101419,983927,182929,626856,174142,,
,Cities outside metropolitan areas,,268891,,,,,,,,,,,,
,,Area actually reporting,1,1805,8,164,118,310,1323,9604,2243,6260,1101,,
,Nonmetropolitan counties,,554421,,,,,,,,,,,,
,,Area actually reporting,1,2104,42,246,159,183,1633,8539,3132,3894,1513,,
,State Total,,39250017,174796,1930,13702,10149,54789,104375,1002070,188304,637010,176756,,
,,"Rate per 100,000 inhabitants",,445,5,35,26,140,266,2553,480,1623,450,,
COLORADO,Metropolitan Statistical Area,,4845078,,,,,, ,,,,,,
,,Area actually reporting,1,17870,190,3233,2391,3458,10989,138992,21523,98615,18854,,
,,Estimated total,1,17882,190,3235,2393,3459,10998,139156,21542,98740,18874,,
,Cities outside metropolitan areas,,337897,,,,,,,,,,,,
,,Area actually reporting,1,641,10,167,121,48,416,8641,1294,6943,404,,
,,Estimated total,1,697,11,181,133,52,453,9405,1408,7557,440,,
,Nonmetropolitan counties,,357570,,,,,,,,,,,,
,,Area actually reporting,1,399,3,137,91,17,242,3243,940,2010,293,,
,,Estimated total,1,404,3,139,93,17,245,3289,953,2039,297,,
,State Total,,5540545,18983,204,3555,2619,3528,11696,151850,23903,108336,19611,,
,,"Rate per 100,000 inhabitants",,343,4,64,47,64,211,2741,431,1955,354,,
CONNECTICUT,Metropolitan Statistical Area,,2961626,,,,,,,,,,,,
,,Area actually reporting,1,7706,70,685,509,2629,4322,60060,9054,44302,6704,,
,Cities outside metropolitan areas,,113580,,,,,,,,,,,,
,,Area actually reporting,1,135,1,21,15,37,76,1756,248,1417,91,,
,Nonmetropolitan counties,,501246,,,,,,,,,,,,
,,Area actually reporting,1,282,7,57,37,37,181,2848,743,1793,312,,
,State Total,,3576452,8123,78,763,561,2703,4579,64664,10045,47512,7107,,
,,"Rate per 100,000 inhabitants",,227,2,21,16,76,128,1808,281,1329,199,,
DELAWARE,Metropolitan Statistical Area,,952065,,,,,,,,,,,,
,,Area actually reporting,1,4843,56,307,220,1359,3121,26333,5023,19790,1520,,
,Cities outside metropolitan areas,,None,, ,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,,,
,,Area actually reporting,1,1,0,1,1,0,0,1,0,1,0,,
,State Total,,952065,4844,56,308,221,1359,3121,26334,5023,19791,1520,,
,,"Rate per 100,000 inhabitants",,509,6,32,23,143,328,2766,528,2079,160,,
DISTRICT OF COLUMBIA4,Metropolitan Statistical Area,,681170,,,,,,,,,,,,
,,Area actually reporting,1,8214,139,532,401,3480,4063,32716,2361,27382,2973,,
,Cities outside metropolitan areas,,None,,,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,,,
,Total,,681170,8214,139,532,401,3480,4063,32716,2361,27382,2973,,
,,"Rate per 100,000 inhabitants",,1206,20,78,59,511,597,4803,347,4020,437,,
FLORIDA,Metropolitan Statistical Area,,19905117, ,,,,,, ,,,,,
,,Area actually reporting,1,85184,1069,7340,5356,19854,56921,537956,95945,399765,42246,,
,,Estimated total,1,85327,1071,7352,5365,19889,57015,538945,96110,400513,42322,,
,Cities outside metropolitan areas,,146572,,,,,,,,,,,,
,,Area actually reporting,1,929,10,41,29,141,737,5149,1159,3742,248,,
,,Estimated total,1,985,11,44,32,149,781,5459,1229,3967,263,,
,Nonmetropolitan counties,,560750,,,,,,,,,,,,
,,Area actually reporting,1,2388,29,202,131,137,2020,9408,2986,5872,550,,
,State Total,,20612439,88700,1111,7598,5528,20175,59816,553812,100325,410352,43135,,
,,"Rate per 100,000 inhabitants",,430,5,37,27,98,290,2687,487,1991,209,,
GEORGIA5,Metropolitan Statistical Area,,8537584,,,,,,,,,,,,
,,Area actually reporting,1,35058,586,2975,2159,11252,20245,261232,52059,184537,24636,,
,,Estimated total,1,35206,588,2986,2168,11297,20335,262449,52298,185405,24746,,
,Cities outside metropolitan areas,,644378,,,,,,,,,,,,
,,Area actually reporting,1,2807,53,219,166,641,1894,24709,4962,18977,770,,
,,Estimated total,1,3132,59,238,182,717,2118,27637,5550,21226,861,,
,Nonmetropolitan counties,,1128409,,,,,,,,,,,,
,,Area actually reporting,1,2464,32,262,165,178,1992,18309,5112,12086,1111,,
,,Estimated total,1,2652,34,285,178,191,2142,19684,5496,12994,1194,,
,State Total,,10310371,40990,681,3509,2528,12205,24595,309770,63344,219625,26801,,
,,"Rate per 100,000 inhabitants",,398,7,34,25,118,239,3005,614,2130,260,,
HAWAII,Metropolitan Statistical Area,,1160343,,,,,,,,,,,,
,,Area actually reporting,1,3781,21,459,343,904,2397,36333,4736,26534,5063,,
,Cities outside metropolitan areas,,None,, ,,,,,,,,,,
,Nonmetropolitan counties,,268214,,,,,,,,,,,,
,,Estimated total,1,636,14,160,104,90,372,6420,1281,4548,591,,
,State Total, ,1428557,4417,35,619,447,994,2769,42753,6017,31082,5654,,
,,"Rate per 100,000 inhabitants",,309,3,43,31,70,194,2993,421,2176,396,,
IDAHO,Metropolitan Statistical Area,,1127333,,,,,,, ,,,,,
,,Area actually reporting,1,2775,28,507,378,170,2070,21858,4307,16026,1525,,
,Cities outside metropolitan areas,,255530,,,,,,,,,,,,
,,Area actually reporting,1,587,11,116,85,32,428,4583,984,3310,289,,
,,Estimated total,1,592,11,117,86,32,432,4625,993,3340,292,,
,Nonmetropolitan counties, ,300277,,,,,,,, ,,,,
,,Area actually reporting,1,509,10,95,65,11,393,2874,1018,1596,260,,
,State Total,,1683140,3876,49,719,529,213,2895,29357,6318,20962,2077,,
,,"Rate per 100,000 inhabitants",,230,3,43,31,13,172,1744,375,1245,123,,
ILLINOIS,Metropolitan Statistical Area,,11329203,,,,,,,,,,,,
,,Area actually reporting,1,51812,1016,4262,3172,17372,29162,234747,41931,173922,18894,,
,,Estimated total,1,52414,1022,4340,3231,17544,29508,239672,42707,177817,19148,,
,Cities outside metropolitan areas,,829170,,,,,,,,,,,,
,,Area actually reporting,1,2032,6,311,226,198,1517,14538,2946,11189,403,,
,,Estimated total,1,2399,7,355,264,235,1802,17269,3499,13291,479,,
,Nonmetropolitan counties,,643166,,,,,,,,,,,,
,,Area actually reporting,1,923,22,189,125,43,669,4755,1580,2924,251,,
,,Estimated total,1,1041,25,213,140,48,755,5365,1783,3299,283,,
,State Total,,12801539,55854,1054,4908,3635,17827,32065,262306,47989,194407,19910,,
