Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Firearm,2010,454,4779745,9.5,9.241402804
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Firearm,2011,452,4799918,9.42,8.954798583
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Firearm,2012,500,4815960,10.38,9.9739866
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Firearm,2013,504,4829479,10.44,9.818932376
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Firearm,2014,479,4843214,9.89,9.514709144
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Firearm,2015,528,4853875,10.88,10.35193814
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Firearm,2016,550,4863300,11.31,10.69148914
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Firearm,,3467,33785491,10.26,.
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Firearm,2010,107,710231,15.07,15.43341482
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Firearm,2011,99,722713,13.7,13.48250154
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Firearm,2012,98,731089,13.4,13.24240753
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Firearm,2013,120,736879,16.28,16.64465907
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Firearm,2014,115,736705,15.61,15.31425654
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Firearm,2015,123,737709,16.67,16.51678523
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Firearm,2016,113,741894,15.23,14.44225426
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Firearm,,775,5117220,15.14,.
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Firearm,2010,620,6392015,9.7,9.534744802
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Firearm,2011,674,6467163,10.42,10.10896316
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Firearm,2012,663,6549634,10.12,9.677990053
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Firearm,2013,655,6624617,9.89,9.660131033
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Firearm,2014,683,6719993,10.16,9.657751701
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Firearm,2015,707,6817565,10.37,9.835085063
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Firearm,2016,755,6931071,10.89,10.15203638
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Firearm,,4757,46502058,10.23,.
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Firearm,2010,266,2915919,9.12,9.003815042
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Firearm,2011,299,2939493,10.17,10.19994728
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Firearm,2012,307,2950685,10.4,10.1268457
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Firearm,2013,322,2958663,10.88,10.5112753
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Firearm,2014,323,2966912,10.89,10.37615811
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Firearm,2015,342,2977853,11.48,10.78484564
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Firearm,2016,331,2988248,11.08,10.38055725
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Firearm,,2190,20697773,10.58,.
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Firearm,2010,1492,37253956,4,3.965994986
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Firearm,2011,1564,37676861,4.15,4.059425962
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Firearm,2012,1549,38011074,4.08,3.990584076
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Firearm,2013,1571,38335203,4.1,3.95395703
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Firearm,2014,1582,38680810,4.09,3.911693862
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Firearm,2015,1559,38993940,4,3.799365952
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Firearm,2016,1595,39250017,4.06,3.863205646
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Firearm,,10912,268201861,4.07,.
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Firearm,2010,427,5029196,8.49,8.192777401
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Firearm,2011,443,5118360,8.66,8.374922932
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Firearm,2012,533,5189867,10.27,9.798097557
