Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Injury,2010,679,4779745,14.21,13.95057781
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Injury,2011,654,4799918,13.63,13.1762429
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Injury,2012,724,4815960,15.03,14.64527719
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Injury,2013,721,4829479,14.93,14.34887439
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Injury,2014,715,4843214,14.76,14.4721295
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Injury,2015,750,4853875,15.45,14.88313
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Injury,2016,788,4863300,16.2,15.60557142
Both Sexes,All Races,Alabama,Both,All Ages,2010,2016,Suicide Injury,,5031,33785491,14.89,.
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Injury,2010,164,710231,23.09,22.92733794
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Injury,2011,143,722713,19.79,19.41964889
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Injury,2012,168,731089,22.98,22.96904781
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Injury,2013,171,736879,23.21,23.04219459
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Injury,2014,167,736705,22.67,21.9946683
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Injury,2015,201,737709,27.25,26.88202178
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Injury,2016,193,741894,26.01,25.37440515
Both Sexes,All Races,Alaska,Both,All Ages,2010,2016,Suicide Injury,,1207,5117220,23.59,.
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Injury,2010,1093,6392015,17.1,16.99296376
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Injury,2011,1160,6467163,17.94,17.85959087
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Injury,2012,1156,6549634,17.65,17.27552418
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Injury,2013,1163,6624617,17.56,17.39161574
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Injury,2014,1244,6719993,18.51,18.03376125
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Injury,2015,1276,6817565,18.72,18.22756189
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Injury,2016,1271,6931071,18.34,17.59309626
Both Sexes,All Races,Arizona,Both,All Ages,2010,2016,Suicide Injury,,8363,46502058,17.98,.
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Injury,2010,447,2915919,15.33,15.45070239
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Injury,2011,462,2939493,15.72,15.95003696
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Injury,2012,485,2950685,16.44,16.34066412
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Injury,2013,516,2958663,17.44,17.25341154
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Injury,2014,515,2966912,17.36,17.24982029
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Injury,2015,577,2977853,19.38,19.12247869
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Injury,2016,555,2988248,18.57,18.18186776
Both Sexes,All Races,Arkansas,Both,All Ages,2010,2016,Suicide Injury,,3557,20697773,17.19,.
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Injury,2010,3913,37253956,10.5,10.3102934
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Injury,2011,3996,37676861,10.61,10.36951182
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Injury,2012,3893,38011074,10.24,9.982545571
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Injury,2013,4025,38335203,10.5,10.152181
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Injury,2014,4214,38680810,10.89,10.49890279
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Injury,2015,4167,38993940,10.69,10.28525361
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Injury,2016,4294,39250017,10.94,10.46466222
Both Sexes,All Races,California,Both,All Ages,2010,2016,Suicide Injury,,28502,268201861,10.63,.
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Injury,2010,865,5029196,17.2,16.69310288
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Injury,2011,913,5118360,17.84,17.45121285
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Injury,2012,1052,5189867,20.27,19.55263805
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Injury,2013,1007,5267603,19.12,18.52404831
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Injury,2014,1083,5349648,20.24,19.80261852
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Injury,2015,1093,5448819,20.06,19.48248657
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Injury,2016,1168,5540545,21.08,20.47257234
Both Sexes,All Races,Colorado,Both,All Ages,2010,2016,Suicide Injury,,7181,36944038,19.44,.
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Injury,2010,353,3574097,9.88,9.330186053
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Injury,2011,370,3589893,10.31,9.82327281
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Injury,2012,368,3593795,10.24,9.883484092
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Injury,2013,330,3596003,9.18,8.663246352
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Injury,2014,379,3591873,10.55,9.723590875
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Injury,2015,384,3584730,10.71,9.833864323
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Injury,2016,397,3576452,11.1,10.0145836
Both Sexes,All Races,Connecticut,Both,All Ages,2010,2016,Suicide Injury,,2581,25106843,10.28,.
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Injury,2010,106,897934,11.8,11.43505991
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Injury,2011,105,907924,11.56,10.90008792
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Injury,2012,125,916993,13.63,13.18238758
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Injury,2013,122,925395,13.18,12.35331544
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Injury,2014,126,934948,13.48,13.20372853
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Injury,2015,122,944076,12.92,12.50978642
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Injury,2016,119,952065,12.5,11.49133062
Both Sexes,All Races,Delaware,Both,All Ages,2010,2016,Suicide Injury,,825,6479335,12.73,.
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Injury,2010,41,601723,6.81,6.692340914
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Injury,2011,37,620477,5.96,5.611889294
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Injury,2012,37,635327,5.82,5.648295323
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Injury,2013,38,649165,5.85,5.755356408
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Injury,2014,52,659005,7.89,7.712587631
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Injury,2015,34,670377,5.07,4.926764989
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Injury,2016,40,681170,5.87,5.089439116
Both Sexes,All Races,District of Columbia,Both,All Ages,2010,2016,Suicide Injury,,279,4517244,6.18,.
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Injury,2010,2789,18802690,14.83,13.64100328
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Injury,2011,2880,19096952,15.08,13.8691326
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Injury,2012,3002,19344156,15.52,14.29895773
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Injury,2013,2928,19582022,14.95,13.70115124
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Injury,2014,3035,19888741,15.26,13.84906138
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Injury,2015,3205,20244914,15.83,14.40446534
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Injury,2016,3143,20612439,15.25,13.92280099
Both Sexes,All Races,Florida,Both,All Ages,2010,2016,Suicide Injury,,20982,137571914,15.25,.
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Injury,2010,1133,9687663,11.7,11.6654822
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Injury,2011,1157,9811610,11.79,11.69755355
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Injury,2012,1168,9914668,11.78,11.64317799
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Injury,2013,1212,9984938,12.14,11.93921584
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Injury,2014,1295,10087231,12.84,12.66587001
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Injury,2015,1317,10199398,12.91,12.68194364
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Injury,2016,1409,10310371,13.67,13.26977974
Both Sexes,All Races,Georgia,Both,All Ages,2010,2016,Suicide Injury,,8691,69995879,12.42,.
Both Sexes,All Races,Hawaii,Both,All Ages,2010,2016,Suicide Injury,2010,207,1360301,15.22,15.02066755
